Porosity,Permeability,Available fluid,Oil saturation,Total hydrocarbon (gas measurement),Total hydrocarbon (light hydrocarbon),Number of peaks,Benzene,Toluene,Methyl cycloalkane index,C1-C5/full hydrocarbon,C1/full hydrocarbon
7.96,0.020593652,12.66,14.84,10.336,8479.974,41,11.423,13.258,1.263216,0.849566,0.294131916
1.45,9.17E-05,22.57,31.29,0.488,5362.379,37,6.463,9.688,1.093861,0.8111591,0.4173143
3.35,0.004757241,28.23,16.8,1.524,5362.379,37,6.463,9.688,1.093861,0.8111591,0.4173143
6.76,0.046263777,23.15,10.02,0.947,5362.379,37,6.463,9.688,1.093861,0.8111591,0.4173143
12.37,0.027991282,6.54,8.93,2.3945,116045.9,64,44.365,159.644,0.9590788,0.6962125,0.0495172
20.02,107.6488335,62.36,20,0.919,79905.44,62,208.193,691.597,1.0427713,0.3993248,0.000429222
17.97,0.121021967,6.45,4.39,13.944,29129.19,59,10.717,141.803,0.7572061,0.7299428,0.1442863
10.87,0.010255297,5.2,9.76,3.945,44595.56,62,164.482,655.407,0.701429,0.3865087,0.000329248
17.84,24.96828352,50.12,28.55,36.92,67079.18,57,25.8445,181.718,0.6587651,0.80700875,0.4286287
12.96,2.815331906,39,30.35,30.701,306600.4,59,299.514,829.032,0.8941748,0.7965403,0.2681477
16.25,81.70772663,68.66,27.29,18.716,8807.301,32,1.796,73.174,0.884141,0.631217,0.207707
19,39.2433461,52.62,28.15,44.899,185370.8,57,458.37,502.728,0.8993359,0.6882806,0.111199
12.45,1.927997282,36.44,5.78,22.0435,6132.433,55,48.416,53.413,1.637217,0.06796943,0.002220489
10.2,1.046192277,38.62,10.81,19.709,8324.532,58,83.757,110.703,1.555987,0.07467183,0.000876926
11.09,2.23,40.35,4.74,1.071,252.547,11,0,0,0,0.8217916,0.435222
10.19,0.82,27.54,11.22,2.303,18.554,3,0,0,0,0.8048713,0.8048713
11.34,0.43,21.89,4.8,1.926,264.591,10,0,0,0,0.2904596,0.05051192
,,,,2.45,,,,,,,
,,,,2.325,1716.469,37,4.709,8.076,4.541655,0.6159331,0.3885086
,,,,2.887,,,,,,,
,,,,1.383,4909.7845,46.5,16.703,7.622,4.0090535,0.6640738,0.4185841
,,,,1.333,,,,,,,
,,,,2.725,2198.812,47,3.52,13.37,3.36,0.766306,0.287514349
,,,,2.46,,,,,,,
,,,,2.723,,,,,,,
,,,,2.838,22747.42,63,128.451,40.438,1.8752872,0.6786062,0.2457113
,,,,0.118,,,,,,,
,,,,3.287,7681,41,11.13,81.499,0.7531877,0.7536743,0.4927775
,,,,0.853,,,,,,,
,,,,0.393,,,,,,,
,,,,0.87,,,,,,,
,,,,0.281,3380,43,6.474,55.454,0.8699867,0.5492979,0.2880177
,,,,15.638,10716.859,45,9.249,33.699,2.47582,0.846697,0.4282637
,,,,0.41,,,,,,,
,,,,1.468,,,,,,,
,,,,1.395,,,,,,,
,,,,1.896,,,,,,,
,,,,1.029,4814.727,21,0,0,0,0.8574399,0.5440466
,,,,0.747,,,,,,,
,,,,0.752,,,,,,,
,,,,0.801,,,,,,,
,,,,0.735,5180,48,4.247,9.16,4.128677,0.6890323,0.3954203
,,,,0.725,,,,,,,
,,,,1.612,,,,,,,
,,,,3.699,,,,,,,
,,,,4.243,1762.658,23,0,0,0,0.8512978,0.560045
,,,,1.709,,,,,,,
,,,,2.649,,,,,,,
,,,,1.434,2429.689,26,0,0,0,0.9044857,0.6980651
,,,,0.528,640.309,18,0,0,0,0.8593461,0.6279594
,,,,0.582,,,,,,,
,,,,2.226,,,,,,,
,,,,1.498,,,,,,,
,,,,4.522,,,,,,,
,,,,0.894,159.269,10,0,0,0,0.8149107,0.6028669
,,,,0.253,2382.013,18,0,0,0,0.9053744,0.6481243
,,,,0.972,2625,19,0,0,0,0.9098215,0.7384219
,,,,0.355,507.468,14,0,0,0,0.8852361,0.5388911
,,,,1.339,,,,,,,
,,,,0.939,361.089,18,0,0,1.079952,0.4391576,0.2476204
,,,,0.714,,,,,,,
,,,,0.435,345.523,9,0,0,0,0.9793154,0.7605428
